"Titre court","Titre complet","Numéro de l'amendement","Partie de l'amendement","Sort de l'amendement","Désignation de l'article","Délibération","Auteur","Cosignataire(s)","Instance","Etape du texte","URL Dossier législatif","URL Texte référence","URL Amendement","URL Amendement format XML"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 1609 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF1609","I","Non renseigné","Article 36","Première délibération","Gérard Félicie",,"Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_36","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF1609","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N001609.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 707 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF707","I","Non renseigné","Article 36","Première délibération","Keloua Hachi Fatiha","  Mme Mercier, M. Philippe Brun, M. Baptiste, M. Baumel, M. Bouloux, M. Oberti, Mme Pantel, Mme Pirès Beaune, M. Vallaud, Mme Allemand, M. Aviragnet, M. Barusseau, Mme Battistel, M. Belhaddad, Mme Bellay, M. Benbrahim, M. Califer, Mme Capdevielle, M. Christophle, M. Courbon, M. David, M. Delaporte, M. Delautrette, Mme Diop, Mme Dombre Coste, M. Dufau, M. Echaniz, M. Eskenazi, M. Faure, Mme Froger, M. Fégné, M. Garot, Mme Godard, M. Gokel, Mme Got, M. Emmanuel Grégoire, M. Guedj, M. Hablot, Mme Hadizadeh, Mme Herouin-Léautey, Mme Céline Hervieu, M. Hollande, M. Houlié, Mme Jourdan, Mme Karamanli, M. Leseul, M. Lhardit, M. Naillet, M. Pena, Mme Pic, M. Potier, M. Pribetich, M. Proença, Mme Rossi, Mme Rouaux, M. Aurélien Rousseau, M. Roussel, Mme Runel, Mme Récalde, M. Saint-Pasteur, Mme Santiago, M. Saulignac, M. Simion, M. Sother, Mme Thiébault-Martinez, Mme Thomin, M. Vicot, M. William et les membres du groupe Socialistes et apparentés","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_36","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF707","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000707.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 241 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF241","I","Non renseigné","Après l'article 29","Première délibération","Bonnecarrère Philippe",,"Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_29","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF241","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000241.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 680 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF680","I","Non renseigné","Après l'article 27","Première délibération","Salmon Emeric",,"Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_27","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF680","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000680.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 492 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF492","I","Non renseigné","Article 36","Première délibération","Dupont Stella",,"Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_36","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF492","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000492.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 1631 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF1631","I","Non renseigné","Après l'article 25","Première délibération","Echaniz Inaki","  M. Emmanuel Grégoire, Mme Allemand, M. Aviragnet, M. Baptiste, M. Barusseau, Mme Battistel, M. Baumel, M. Belhaddad, Mme Bellay, M. Benbrahim, M. Bouloux, M. Philippe Brun, M. Califer, Mme Capdevielle, M. Christophle, M. Courbon, M. David, M. Delaporte, M. Delautrette, Mme Diop, Mme Dombre Coste, M. Dufau, M. Eskenazi, M. Faure, Mme Froger, M. Fégné, M. Garot, Mme Godard, M. Gokel, Mme Got, M. Guedj, M. Hablot, Mme Hadizadeh, Mme Herouin-Léautey, Mme Céline Hervieu, M. Hollande, M. Houlié, Mme Jourdan, Mme Karamanli, Mme Keloua Hachi, M. Leseul, M. Lhardit, Mme Mercier, M. Naillet, M. Oberti, Mme Pantel, M. Pena, Mme Pic, Mme Pirès Beaune, M. Potier, M. Pribetich, M. Proença, Mme Rossi, Mme Rouaux, M. Aurélien Rousseau, M. Roussel, Mme Runel, Mme Récalde, M. Saint-Pasteur, Mme Santiago, M. Saulignac, M. Simion, M. Sother, Mme Thiébault-Martinez, Mme Thomin, M. Vallaud, M. Vicot, M. William et les membres du groupe Socialistes et apparentés","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_25","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF1631","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N001631.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 9 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","II-CE9","II","Non renseigné","Article 49","Première délibération","Thomin Mélanie","  M. Potier, Mme Battistel, M. Benbrahim, M. Delaporte, M. Echaniz, M. Lhardit, M. Naillet et Mme Rossi","Affaires économiques","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906C.asp#D_Etat_B","https://www.assemblee-nationale.fr/dyn/17/amendements/1906C/CION-ECO/CE9","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B1906P2D1N000009.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 25 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","II-CE25","II","Non renseigné","Article 49","Première délibération","Meunier Manon rapporteure","  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, M. Arnault, Mme Belouassa-Cherifi, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Cadalen, M. Caron, M. Carrière, Mme Cathala, M. Cernon, Mme Chikirou, M. Clouet, M. Coquerel, M. Coulomme, M. Delogu, M. Diouara, Mme Dufour, Mme Erodi, Mme Feld, M. Fernandes, Mme Ferrer, M. Gaillard, Mme Guetté, M. Guiraud, Mme Hamdane, Mme Hignet, M. Kerbrat, M. Lachaud, M. Lahmar, M. Laisney, M. Le Coq, M. Le Gall, Mme Leboucher, M. Legavre, Mme Legrain, Mme Lejeune, Mme Lepvraud, M. Léaument, Mme Élisa Martin, M. Maudet, Mme Maximi, Mme Mesmeur, M. Nilor, Mme Nosbé, Mme Obono, Mme Oziol, Mme Panot, M. Pilato, M. Piquemal, M. Portes, M. Prud'homme, M. Ratenon, M. Saint-Martin, M. Saintoul, Mme Soudais, Mme Stambach-Terrenoir, M. Aurélien Taché, Mme Taurinya, M. Tavel, Mme Trouvé et M. Vannier","Affaires économiques","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906C.asp#D_Etat_B","https://www.assemblee-nationale.fr/dyn/17/amendements/1906C/CION-ECO/CE25","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B1906P2D1N000025.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 99 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF99","I","Non renseigné","Après l'article 25","Première délibération","Bannier Géraldine","  M. Blanchet, M. Cosson, M. Martineau, M. Sertin et M. Woerth","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_25","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF99","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000099.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 39 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF39","I","Non renseigné","Après l'article 30","Première délibération","Vignon Corinne","  Mme Regol, M. Castellani, Mme Reid Arbelot, M. Falorni, M. Boucard, Mme Vidal, Mme Rixain et Mme Violland","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_30","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF39","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000039.xml"
